UZA,Modes,Month,Trips
"Albuquerque, NM",CB,1/1/2020 0:00,4389
"Albuquerque, NM",CB,2/1/2020 0:00,4591
"Albuquerque, NM",CB,3/1/2020 0:00,3206
"Albuquerque, NM",CB,4/1/2020 0:00,705
"Albuquerque, NM",CB,5/1/2020 0:00,578
"Albuquerque, NM",CB,6/1/2020 0:00,706
"Albuquerque, NM",CB,7/1/2020 0:00,1107
"Albuquerque, NM",CB,8/1/2020 0:00,1354
"Albuquerque, NM",CB,9/1/2020 0:00,1425
"Albuquerque, NM",CR,1/1/2019 0:00,58602
"Albuquerque, NM",CR,2/1/2019 0:00,58629
"Albuquerque, NM",CR,3/1/2019 0:00,63757
"Albuquerque, NM",CR,4/1/2019 0:00,63389
"Albuquerque, NM",CR,5/1/2019 0:00,62521
"Albuquerque, NM",CR,6/1/2019 0:00,64532
"Albuquerque, NM",CR,7/1/2019 0:00,66252
"Albuquerque, NM",CR,8/1/2019 0:00,69734
"Albuquerque, NM",CR,9/1/2019 0:00,61520
"Albuquerque, NM",CR,10/1/2019 0:00,69968
"Albuquerque, NM",CR,11/1/2019 0:00,52188
"Albuquerque, NM",CR,12/1/2019 0:00,52958
"Albuquerque, NM",CR,1/1/2020 0:00,58529
"Albuquerque, NM",CR,2/1/2020 0:00,57351
"Albuquerque, NM",CR,3/1/2020 0:00,27582
"Albuquerque, NM",CR,4/1/2020 0:00,0
"Albuquerque, NM",CR,5/1/2020 0:00,0
"Albuquerque, NM",CR,6/1/2020 0:00,0
"Albuquerque, NM",CR,7/1/2020 0:00,0
"Albuquerque, NM",CR,8/1/2020 0:00,0
"Albuquerque, NM",CR,9/1/2020 0:00,0
"Albuquerque, NM",DR,1/1/2019 0:00,27714
"Albuquerque, NM",DR,2/1/2019 0:00,26132
"Albuquerque, NM",DR,3/1/2019 0:00,27639
"Albuquerque, NM",DR,4/1/2019 0:00,28791
"Albuquerque, NM",DR,5/1/2019 0:00,26470
"Albuquerque, NM",DR,6/1/2019 0:00,24903
"Albuquerque, NM",DR,7/1/2019 0:00,25852
"Albuquerque, NM",DR,8/1/2019 0:00,27850
"Albuquerque, NM",DR,9/1/2019 0:00,26510
"Albuquerque, NM",DR,10/1/2019 0:00,29492
"Albuquerque, NM",DR,11/1/2019 0:00,24246
"Albuquerque, NM",DR,12/1/2019 0:00,24351
"Albuquerque, NM",DR,1/1/2020 0:00,26952
"Albuquerque, NM",DR,2/1/2020 0:00,26317
"Albuquerque, NM",DR,3/1/2020 0:00,16032
"Albuquerque, NM",DR,4/1/2020 0:00,4982
"Albuquerque, NM",DR,5/1/2020 0:00,5593
"Albuquerque, NM",DR,6/1/2020 0:00,8109
"Albuquerque, NM",DR,7/1/2020 0:00,8575
"Albuquerque, NM",DR,8/1/2020 0:00,8878
"Albuquerque, NM",DR,9/1/2020 0:00,9327
"Albuquerque, NM",MB,1/1/2019 0:00,716812
"Albuquerque, NM",MB,2/1/2019 0:00,699769
"Albuquerque, NM",MB,3/1/2019 0:00,758124
"Albuquerque, NM",MB,4/1/2019 0:00,780156
"Albuquerque, NM",MB,5/1/2019 0:00,756475
"Albuquerque, NM",MB,6/1/2019 0:00,729494
"Albuquerque, NM",MB,7/1/2019 0:00,756121
"Albuquerque, NM",MB,8/1/2019 0:00,806694
"Albuquerque, NM",MB,9/1/2019 0:00,770767
"Albuquerque, NM",MB,10/1/2019 0:00,816164
"Albuquerque, NM",MB,11/1/2019 0:00,688486
"Albuquerque, NM",MB,12/1/2019 0:00,522142
"Albuquerque, NM",MB,1/1/2020 0:00,549572
"Albuquerque, NM",MB,2/1/2020 0:00,562279
"Albuquerque, NM",MB,3/1/2020 0:00,446588
"Albuquerque, NM",MB,4/1/2020 0:00,316072
"Albuquerque, NM",MB,5/1/2020 0:00,306751
"Albuquerque, NM",MB,6/1/2020 0:00,290134
"Albuquerque, NM",MB,7/1/2020 0:00,277143
"Albuquerque, NM",MB,8/1/2020 0:00,246511
"Albuquerque, NM",MB,9/1/2020 0:00,263235
"Albuquerque, NM",RB,11/1/2019 0:00,6853
"Albuquerque, NM",RB,12/1/2019 0:00,211488
"Albuquerque, NM",RB,1/1/2020 0:00,180226
"Albuquerque, NM",RB,2/1/2020 0:00,204102
"Albuquerque, NM",RB,3/1/2020 0:00,176088
